一级对象,二级对象,三级对象,故障模式,可能原因,故障影响,是否中断业务,严酷度,故障模式备注,故障预防方法（预期）,故障预防方法（版本现状）,故障检测方法（预期）,故障检测方法（版本现状）,故障处理方法（预期）,故障处理方法(版本现状),故障定位方法（预期）,故障定位方法（版本现状）,改进建议,故障管理措施备注
业务实例,SDK Init,服务发现,K_INVALID: ConnectOptions未配置host/port,"1.ConnectOptions未配置ip/port；2.未配置serviceDiscovery；3.AK/SK/Token失效","SDK无法注册到Worker，请求直接被拒绝",是,Ⅲ类,"【故障域】用户问题","配置检查、服务发现机制","Validator::ValidateHostPortString检查","参数校验","K_INVALID(2)","返回错误码","ObjectClientImpl::Init返回错误","错误码K_INVALID；日志：ConnectOptions was not configured","N/A","检查业务配置"
业务实例,SDK Init,建链失败,K_RPC_UNAVAILABLE: 建链失败,"1.安全组/路由不通；2.DNS解析失败；3.证书文件权限错误；4.本机fd/线程规格不足","业务实例无法注册到Worker",是,Ⅱ类,"【故障域】OS问题","网络连通性检查","ServiceDiscovery::SelectWorker","建链返回值检测","K_RPC_UNAVAILABLE(1002)","自动重试","RetryOnError重试","错误码K_RPC_UNAVAILABLE；日志：Start to init worker client","检查网络和安全组配置"
业务实例,SDK Init,首心跳超时,K_CLIENT_WORKER_DISCONNECT: 首心跳失败,"1.Worker进程故障；2.网络闪断；3. Worker负载过高","SDK无法建立心跳连接",是,Ⅱ类,"【故障域】OS问题","心跳机制保活","ListenWorker::StartListenWorker","首心跳等待超时检测","K_CLIENT_WORKER_DISCONNECT(23)","自动切换","SwitchWorkerNode切换到其他Worker","错误码K_CLIENT_WORKER_DISCONNECT；日志：Cannot receive heartbeat from worker","检测灵敏度受connectTimeoutMs控制"
业务实例,SDK Init,etcd不可达,K_MASTER_TIMEOUT: 控制面不可达,"1.etcd集群全部节点故障；2.网络分区；3.磁盘IO满","控制面失效，无法路由和选主",是,Ⅰ类,"【故障域】OS问题","etcd高可用部署","etcdCM_->CheckLocalNodeIsExiting","etcd健康检查","K_MASTER_TIMEOUT(25)","等待恢复","etcd订阅节点状态","错误码K_MASTER_TIMEOUT；日志：etcd is timeout","P0: etcd故障自愈机制"
业务实例,MCreate,参数校验失败,K_INVALID: keys空/非法/批量超限,"1.业务传入空key/非法字符；2.批量超过OBJECT_KEYS_MAX_SIZE_LIMIT；3.size=0","请求直接被拒绝",否,Ⅳ类,"【故障域】用户问题","入参校验","CheckValidObjectKey/IsBatchSizeUnderLimit","参数校验","K_INVALID(2)","返回错误码","ObjectClientImpl::MCreate返回错误","错误码K_INVALID；日志：The objectKey is empty","N/A","业务侧问题"
业务实例,MCreate,对象已存在,K_OC_KEY_ALREADY_EXIST: 已存在且existence=NX,"业务写入同名key且设置existence=NX","请求直接被拒绝",否,Ⅳ类,"【故障域】用户问题","业务自查","Worker OC::MultiCreate","重复key检测","K_OC_KEY_ALREADY_EXIST(2004)","返回错误码","ObjectClientImpl::MCreate返回错误","错误码K_OC_KEY_ALREADY_EXIST","N/A","业务侧幂等处理"
业务实例,MCreate,SDK未Init,K_NOT_READY: SDK未完成Init或已ShutDown,"1.并发调用Init/ShutDown；2.业务未调用Init直接调用MCreate","请求直接被拒绝",否,Ⅳ类,"【故障域】用户问题","生命周期管理","IsClientReady","状态检测","K_NOT_READY(8)","返回错误码","ObjectClientImpl::MCreate返回错误","错误码K_NOT_READY","N/A","业务侧生命周期管理"
业务实例,MCreate,shm池不足,K_OUT_OF_MEMORY: 共享内存池不足,"1.系统内存不足；2.hugepage配置不足；3.大量数据占用shm","MCreate申请buffer失败",是,Ⅱ类,"【故障域】OS问题","内存/大页配置检查","Worker OC::MultiCreate","内存检测","K_OUT_OF_MEMORY(6)","等待/降级","触发缓存淘汰或等待","错误码K_OUT_OF_MEMORY；日志：Out of memory","P1: shm池不足降级路径","检查系统内存和大页配置"
业务实例,MCreate,mmap失败,K_RUNTIME_ERROR: Get mmap entry failed,"1.client fd超限；2.mmap entry获取失败；3.地址映射冲突","UB传输无法分配内存",是,Ⅱ类,"【故障域】OS问题","fd监控","mmapManager_->LookupUnitsAndMmapFd","mmap返回值检测","K_RUNTIME_ERROR(7)","降级TCP","降级到TCP传输","错误码K_RUNTIME_ERROR；日志：Get mmap entry failed","P1: mmap失败降级路径","检查fd限制和共享内存状态"
业务实例,MCreate,UB注册失败,K_URMA_ERROR: urma_register_seg失败,"1.UMMU grant接口错误；2.token配置错误；3.设备不支持","UB传输建立失败",是,Ⅱ类,"【故障域】URMA问题","UB资源检查","UB驱动urma_register_seg","注册返回值检测","K_URMA_ERROR(1004)","降级TCP","降级到TCP传输","错误码K_URMA_ERROR；日志：[DRV_ERR]Failed to register seg","有降级路径","检查UB驱动部署"
